Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
937574,"113.709878,22.782041",东莞,1874,6109,1425
939189,"113.709878,22.786541",东莞,0,0,0
935960,"113.714766,22.777541",东莞,7735,7199,3759
935961,"113.719654,22.777541",东莞,0,0,0
937575,"113.714766,22.782041",东莞,0,0,0
939190,"113.714766,22.786541",东莞,0,0,0
937576,"113.719654,22.782041",东莞,1105,481,758
939191,"113.719654,22.786541",东莞,0,0,0
940803,"113.70499,22.79104",东莞,1786,1538,1114
942418,"113.70499,22.79554",东莞,6225,2274,3898
940804,"113.709878,22.79104",东莞,7277,2641,5241
942419,"113.709878,22.79554",东莞,4912,2533,3454
944033,"113.70499,22.80004",东莞,1580,1519,1256
945648,"113.70499,22.804539",东莞,3762,1277,2126
944034,"113.709878,22.80004",东莞,4678,1559,1795
945649,"113.709878,22.804539",东莞,0,0,0
940805,"113.714766,22.79104",东莞,1589,590,1037
942420,"113.714766,22.79554",东莞,2557,748,1717
940806,"113.719654,22.79104",东莞,2301,851,2286
942421,"113.719654,22.79554",东莞,3054,1993,2655
944035,"113.714766,22.80004",东莞,18341,6447,8030
945650,"113.714766,22.804539",东莞,435,60,83
944036,"113.719654,22.80004",东莞,2063,986,1671
945651,"113.719654,22.804539",东莞,0,0,0
935962,"113.724542,22.777541",东莞,0,0,0
935963,"113.729431,22.777541",东莞,3098,1129,3357
937577,"113.724542,22.782041",东莞,0,0,0
939192,"113.724542,22.786541",东莞,6654,3090,2397
937578,"113.729431,22.782041",东莞,8004,2505,6774
939193,"113.729431,22.786541",东莞,2511,929,1313
935964,"113.734319,22.777541",东莞,11428,3890,3107
937579,"113.734319,22.782041",东莞,5367,1899,2902
939194,"113.734319,22.786541",东莞,5822,2343,4612
940807,"113.724542,22.79104",东莞,3774,2265,1671
942422,"113.724542,22.79554",东莞,7060,2378,3584
940808,"113.729431,22.79104",东莞,5865,1748,2109
942423,"113.729431,22.79554",东莞,4446,1065,873
944037,"113.724542,22.80004",东莞,6503,1807,2456
945652,"113.724542,22.804539",东莞,5326,1756,1220
944038,"113.729431,22.80004",东莞,2911,1725,1758
945653,"113.729431,22.804539",东莞,3423,1239,1186
940809,"113.734319,22.79104",东莞,105,50,273
942424,"113.734319,22.79554",东莞,9746,2600,3252
